Shot ID,Shots Since Up To Air,Shots Since Li GUN Coat,Shots Since Li POT Coat,Graph (20913)
2762,"36","5000","5000","1"
2763,"37","5000","5000","1"
2764,"38","5000","5000","1"
2765,"39","5000","5000","1"
2766,"40","5000","5000","1"
2767,"41","5000","5000","1"
2768,"42","5000","5000","1"
2769,"43","5000","5000","1"
2770,"44","5000","5000","1"
2771,"45","5000","5000","1"
2772,"46","5000","5000","1"
2773,"47","5000","5000","1"
2774,"48","5000","5000","1"
2775,"48","5000","5000","1"
2776,"49","5000","5000","1"
2777,"50","5000","5000","1"
2778,"51","5000","5000","1"
2779,"52","5000","5000","1"
2780,"53","5000","5000","1"
2781,"54","5000","5000","1"
2782,"55","5000","5000","1"
2783,"56","5000","5000","1"
2784,"56","5000","5000","1"
2785,"56","5000","5000","1"
2786,"57","5000","5000","1"
2787,"58","5000","5000","1"
2788,"59","5000","5000","1"
2789,"60","5000","5000","1"
2790,"61","5000","5000","1"
2791,"62","5000","5000","1"
2792,"63","5000","5000","1"
2793,"64","5000","5000","1"
2794,"65","5000","5000","1"
2795,"66","5000","5000","1"
2796,"67","5000","5000","1"
2797,"68","5000","5000","1"
2798,"68","5000","5000","1"
2799,"69","5000","5000","1"
2800,"70","5000","5000","1"
2801,"71","5000","5000","1"
2802,"72","5000","5000","1"
2803,"73","5000","5000","1"
2804,"74","5000","5000","1"
2805,"75","5000","5000","1"
2806,"75","5000","5000","1"
2807,"75","5000","5000","1"
2808,"76","5000","5000","1"
2809,"77","5000","5000","1"
2810,"78","5000","5000","1"
2811,"79","5000","5000","1"
2812,"79","5000","5000","1"
2813,"79","5000","5000","1"
2814,"79","5000","5000","1"
2815,"79","5000","5000","1"
2816,"79","5000","5000","1"
2817,"79","5000","5000","1"
2818,"79","5000","5000","1"
2819,"79","5000","5000","1"
2820,"79","5000","5000","1"
2821,"79","5000","5000","1"
2822,"79","5000","5000","1"
2823,"79","5000","5000","1"
2824,"79","5000","5000","1"
2825,"79","5000","5000","1"
2826,"79","5000","5000","1"
2827,"79","5000","5000","1"
2828,"79","5000","5000","1"
2829,"79","5000","5000","1"
2831,"79","5000","5000","1"
