System,Experiment,Shot ID,Sustainment Setpoint (kV),Graph (20913)
Pi 3,"pi3b (Pi3 spherical build)","2321","","1"
Pi 3,"pi3b (Pi3 spherical build)","2322","","1"
Pi 3,"pi3b (Pi3 spherical build)","2323","","1"
Pi 3,"pi3b (Pi3 spherical build)","2324","","1"
Pi 3,"pi3b (Pi3 spherical build)","2325","","1"
Pi 3,"pi3b (Pi3 spherical build)","2326","","1"
Pi 3,"pi3b (Pi3 spherical build)","2327","","1"
Pi 3,"pi3b (Pi3 spherical build)","2328","","1"
Pi 3,"pi3b (Pi3 spherical build)","2329","","1"
Pi 3,"pi3b (Pi3 spherical build)","2330","","1"
Pi 3,"pi3b (Pi3 spherical build)","2331","","1"
Pi 3,"pi3b (Pi3 spherical build)","2332","","1"
Pi 3,"pi3b (Pi3 spherical build)","2333","","1"
Pi 3,"pi3b (Pi3 spherical build)","2334","","1"
Pi 3,"pi3b (Pi3 spherical build)","2335","","1"
Pi 3,"pi3b (Pi3 spherical build)","2336","","1"
Pi 3,"pi3b (Pi3 spherical build)","2337","","1"
Pi 3,"pi3b (Pi3 spherical build)","2338","","1"
Pi 3,"pi3b (Pi3 spherical build)","2339","","1"
Pi 3,"pi3b (Pi3 spherical build)","2340","","1"
Pi 3,"pi3b (Pi3 spherical build)","2341","","1"
Pi 3,"pi3b (Pi3 spherical build)","2342","","1"
Pi 3,"pi3b (Pi3 spherical build)","2343","","1"
Pi 3,"pi3b (Pi3 spherical build)","2344","","1"
Pi 3,"pi3b (Pi3 spherical build)","2345","","1"
Pi 3,"pi3b (Pi3 spherical build)","2346","","1"
Pi 3,"pi3b (Pi3 spherical build)","2347","","1"
Pi 3,"pi3b (Pi3 spherical build)","2348","","1"
Pi 3,"pi3b (Pi3 spherical build)","2349","","1"
Pi 3,"pi3b (Pi3 spherical build)","2350","","1"
Pi 3,"pi3b (Pi3 spherical build)","2351","","1"
Pi 3,"pi3b (Pi3 spherical build)","2352","","1"
Pi 3,"pi3b (Pi3 spherical build)","2353","","1"
Pi 3,"pi3b (Pi3 spherical build)","2354","","1"
Pi 3,"pi3b (Pi3 spherical build)","2355","<puff ref>","1"
Pi 3,"pi3b (Pi3 spherical build)","2356","<puff ref>","1"
Pi 3,"pi3b (Pi3 spherical build)","2357","","1"
Pi 3,"pi3b (Pi3 spherical build)","2358","","1"
Pi 3,"pi3b (Pi3 spherical build)","2359","","1"
Pi 3,"pi3b (Pi3 spherical build)","2360","","1"
Pi 3,"pi3b (Pi3 spherical build)","2361","","1"
Pi 3,"pi3b (Pi3 spherical build)","2362","","1"
Pi 3,"pi3b (Pi3 spherical build)","2363","","1"
Pi 3,"pi3b (Pi3 spherical build)","2364","","1"
Pi 3,"pi3b (Pi3 spherical build)","2365","","1"
Pi 3,"pi3b (Pi3 spherical build)","2366","","1"
Pi 3,"pi3b (Pi3 spherical build)","2367","","1"
Pi 3,"pi3b (Pi3 spherical build)","2368","","1"
Pi 3,"pi3b (Pi3 spherical build)","2369","","1"
Pi 3,"pi3b (Pi3 spherical build)","2370","","1"
Pi 3,"pi3b (Pi3 spherical build)","2371","","1"
Pi 3,"pi3b (Pi3 spherical build)","2372","","1"
Pi 3,"pi3b (Pi3 spherical build)","2373","","1"
Pi 3,"pi3b (Pi3 spherical build)","2374","","1"
Pi 3,"pi3b (Pi3 spherical build)","2375","","1"
Pi 3,"pi3b (Pi3 spherical build)","2376","","1"
Pi 3,"pi3b (Pi3 spherical build)","2377","<puff ref>","1"
Pi 3,"pi3b (Pi3 spherical build)","2378","<puff ref>","1"
Pi 3,"pi3b (Pi3 spherical build)","2379","","1"
Pi 3,"pi3b (Pi3 spherical build)","2380","","1"
Pi 3,"pi3b (Pi3 spherical build)","2381","","1"
Pi 3,"pi3b (Pi3 spherical build)","2382","","1"
Pi 3,"pi3b (Pi3 spherical build)","2383","","1"
Pi 3,"pi3b (Pi3 spherical build)","2384","","1"
Pi 3,"pi3b (Pi3 spherical build)","2385","","1"
Pi 3,"pi3b (Pi3 spherical build)","2386","","1"
Pi 3,"pi3b (Pi3 spherical build)","2387","","1"
Pi 3,"pi3b (Pi3 spherical build)","2388","","1"
Pi 3,"pi3b (Pi3 spherical build)","2389","","1"
Pi 3,"pi3b (Pi3 spherical build)","2390","","1"
Pi 3,"pi3b (Pi3 spherical build)","2391","","1"
Pi 3,"pi3b (Pi3 spherical build)","2392","","1"
Pi 3,"pi3b (Pi3 spherical build)","2393","","1"
Pi 3,"pi3b (Pi3 spherical build)","2394","","1"
Pi 3,"pi3b (Pi3 spherical build)","2395","","1"
Pi 3,"pi3b (Pi3 spherical build)","2396","","1"
Pi 3,"pi3b (Pi3 spherical build)","2397","","1"
Pi 3,"pi3b (Pi3 spherical build)","2398","","1"
Pi 3,"pi3b (Pi3 spherical build)","2399","","1"
Pi 3,"pi3b (Pi3 spherical build)","2400","","1"
Pi 3,"pi3b (Pi3 spherical build)","2401","","1"
Pi 3,"pi3b (Pi3 spherical build)","2402","","1"
Pi 3,"pi3b (Pi3 spherical build)","2403","","1"
Pi 3,"pi3b (Pi3 spherical build)","2404","","1"
Pi 3,"pi3b (Pi3 spherical build)","2405","","1"
Pi 3,"pi3b (Pi3 spherical build)","2406","","1"
Pi 3,"pi3b (Pi3 spherical build)","2407","","1"
Pi 3,"pi3b (Pi3 spherical build)","2408","","1"
Pi 3,"pi3b (Pi3 spherical build)","2409","","1"
Pi 3,"pi3b (Pi3 spherical build)","2410","","1"
Pi 3,"pi3b (Pi3 spherical build)","2411","","1"
Pi 3,"pi3b (Pi3 spherical build)","2412","<puff ref>","1"
Pi 3,"pi3b (Pi3 spherical build)","2413","<puff ref>","1"
Pi 3,"pi3b (Pi3 spherical build)","2414","","1"
Pi 3,"pi3b (Pi3 spherical build)","2415","","1"
Pi 3,"pi3b (Pi3 spherical build)","2416","","1"
Pi 3,"pi3b (Pi3 spherical build)","2417","","1"
Pi 3,"pi3b (Pi3 spherical build)","2418","","1"
